cod_distr;nome_distr;ano;populacao_total;populacao_idosa;taxa_envelhecimento_perc;leitos_por_mil_hab
80065;Distrito Sintético 65;2014;77602;16613;21.41;4.69
80066;Distrito Sintético 66;2014;75817;13611;17.95;1.22
80067;Distrito Sintético 67;2014;90217;15842;17.56;2.08
80068;Distrito Sintético 68;2014;88091;14630;16.61;2.24
80069;Distrito Sintético 69;2014;90672;16979;18.73;4.18
80070;Distrito Sintético 70;2014;82242;15770;19.18;3.34
80071;Distrito Sintético 71;2014;83298;17335;20.81;3.75
80072;Distrito Sintético 72;2014;91314;17529;19.2;4.19
80073;Distrito Sintético 73;2014;71417;15719;22.01;3.22
80074;Distrito Sintético 74;2014;85556;19040;22.25;3.01
80075;Distrito Sintético 75;2014;81501;14517;17.81;4.12
80076;Distrito Sintético 76;2014;87266;15255;17.48;2.88
80077;Distrito Sintético 77;2014;79530;16229;20.41;4.81
80078;Distrito Sintético 78;2014;73677;18554;25.18;2.62
80079;Distrito Sintético 79;2014;67120;11705;17.44;0.84
80080;Distrito Sintético 80;2014;70397;10594;15.05;3.94
80081;Distrito Sintético 81;2014;71667;10078;14.06;4.17
80082;Distrito Sintético 82;2014;88437;15911;17.99;1.41
80083;Distrito Sintético 83;2014;81053;16389;20.22;3.68
80084;Distrito Sintético 84;2014;63435;19119;30.14;1.55
80085;Distrito Sintético 85;2014;83037;11270;13.57;3.97
80086;Distrito Sintético 86;2014;88119;18622;21.13;1.36
80087;Distrito Sintético 87;2014;63577;9333;14.68;1.03
80088;Distrito Sintético 88;2014;72184;13450;18.63;1.6
80089;Distrito Sintético 89;2014;93254;16040;17.2;1.03
80090;Distrito Sintético 90;2014;79875;20001;25.04;3.63
80091;Distrito Sintético 91;2014;80347;12572;15.65;3.59
80092;Distrito Sintético 92;2014;71496;19383;27.11;2.7
80093;Distrito Sintético 93;2014;84905;14057;16.56;0.73
80094;Distrito Sintético 94;2014;85158;12875;15.12;3.74
80095;Distrito Sintético 95;2014;66274;12807;19.32;1.79
80096;Distrito Sintético 96;2014;73869;15347;20.78;1.89
80001;Distrito Sintético 1;2015;90098;17370;19.28;4.48
80002;Distrito Sintético 2;2015;93299;19484;20.88;2.88
80003;Distrito Sintético 3;2015;85178;12507;14.68;4.67
80004;Distrito Sintético 4;2015;81697;17529;21.46;4.54
80005;Distrito Sintético 5;2015;62331;12735;20.43;3.07
80006;Distrito Sintético 6;2015;82403;16726;20.3;3.45
80007;Distrito Sintético 7;2015;79977;17302;21.63;4.27
80008;Distrito Sintético 8;2015;68565;16211;23.64;1.76
80009;Distrito Sintético 9;2015;73990;12483;16.87;3.1
80010;Distrito Sintético 10;2015;72460;14839;20.48;3.23
80011;Distrito Sintético 11;2015;85924;18292;21.29;0.9
80012;Distrito Sintético 12;2015;87174;14176;16.26;1.58
80013;Distrito Sintético 13;2015;61252;13515;22.06;3.79
80014;Distrito Sintético 14;2015;77149;15263;19.78;1.52
80015;Distrito Sintético 15;2015;74584;16352;21.92;2.64
80016;Distrito Sintético 16;2015;79421;14644;18.44;3.24
80017;Distrito Sintético 17;2015;85014;12069;14.2;2.32
80018;Distrito Sintético 18;2015;83748;10944;13.07;4.88
80019;Distrito Sintético 19;2015;94218;19604;20.81;2.01
80020;Distrito Sintético 20;2015;79572;16868;21.2;0.51
80021;Distrito Sintético 21;2015;80494;16702;20.75;3.27
80022;Distrito Sintético 22;2015;78444;13583;17.32;2.29
80023;Distrito Sintético 23;2015;79913;14392;18.01;0.74
80024;Distrito Sintético 24;2015;77955;11921;15.29;2.43
80025;Distrito Sintético 25;2015;90672;20411;22.51;1.77
80026;Distrito Sintético 26;2015;92007;18053;19.62;0.53
80027;Distrito Sintético 27;2015;68588;15816;23.06;1.44
80028;Distrito Sintético 28;2015;80428;18281;22.73;0.63
80029;Distrito Sintético 29;2015;71961;16228;22.55;3.89
80030;Distrito Sintético 30;2015;79011;14462;18.3;2.67
80031;Distrito Sintético 31;2015;77657;10373;13.36;2.42
80032;Distrito Sintético 32;2015;91386;20890;22.86;3.72
80033;Distrito Sintético 33;2015;67807;12151;17.92;0.89
80034;Distrito Sintético 34;2015;79334;16514;20.82;4.83
80035;Distrito Sintético 35;2015;76720;12446;16.22;2.22
80036;Distrito Sintético 36;2015;85140;14515;17.05;3.83
80037;Distrito Sintético 37;2015;78578;12262;15.6;2.26
80038;Distrito Sintético 38;2015;88127;17805;20.2;0.7
80039;Distrito Sintético 39;2015;74526;14779;19.83;1.78
80040;Distrito Sintético 40;2015;74817;14634;19.56;3.01
80041;Distrito Sintético 41;2015;81817;16763;20.49;1.47
80042;Distrito Sintético 42;2015;94337;15423;16.35;4.95
80043;Distrito Sintético 43;2015;75694;16043;21.19;1.76
80044;Distrito Sintético 44;2015;98084;22643;23.09;4.18
80045;Distrito Sintético 45;2015;89835;12366;13.77;2.77
80046;Distrito Sintético 46;2015;89574;17688;19.75;3.47
80047;Distrito Sintético 47;2015;83648;14494;17.33;0.98
80048;Distrito Sintético 48;2015;82178;14706;17.9;1.88
80049;Distrito Sintético 49;2015;88444;19035;21.52;1.84
80050;Distrito Sintético 50;2015;82742;16761;20.26;4.83
80051;Distrito Sintético 51;2015;89607;15953;17.8;1.6
80052;Distrito Sintético 52;2015;75139;16979;22.6;3.93
80053;Distrito Sintético 53;2015;85657;16578;19.35;4.69
80054;Distrito Sintético 54;2015;82208;17638;21.46;4.27
80055;Distrito Sintético 55;2015;79950;14711;18.4;1.92
80056;Distrito Sintético 56;2015;77627;13569;17.48;3.42
80057;Distrito Sintético 57;2015;85547;13408;15.67;3.73
80058;Distrito Sintético 58;2015;82641;13230;16.01;3.99
80059;Distrito Sintético 59;2015;85863;11904;13.86;2.08
80060;Distrito Sintético 60;2015;83986;12645;15.06;1.15
80061;Distrito Sintético 61;2015;86062;14099;16.38;1.53
80062;Distrito Sintético 62;2015;60744;9801;16.13;1.43
80063;Distrito Sintético 63;2015;77607;12790;16.48;2.91
80064;Distrito Sintético 64;2015;92557;18066;19.52;0.77
80065;Distrito Sintético 65;2015;91207;17076;18.72;4.32
80066;Distrito Sintético 66;2015;78870;13910;17.64;3.94
80067;Distrito Sintético 67;2015;79828;12445;15.59;2.73
80068;Distrito Sintético 68;2015;72871;15243;20.92;3.28
80069;Distrito Sintético 69;2015;72538;10413;14.36;2.81
80070;Distrito Sintético 70;2015;80266;14381;17.92;0.7
80071;Distrito Sintético 71;2015;76690;19883;25.93;4.33
80072;Distrito Sintético 72;2015;78227;16057;20.53;1.44
80073;Distrito Sintético 73;2015;72752;12196;16.76;3.62
80074;Distrito Sintético 74;2015;72375;13844;19.13;4.61
80075;Distrito Sintético 75;2015;78478;10682;13.61;0.55
80076;Distrito Sintético 76;2015;81053;17717;21.86;1.47
80077;Distrito Sintético 77;2015;84260;14005;16.62;0.51
80078;Distrito Sintético 78;2015;79042;16366;20.71;4.74
80079;Distrito Sintético 79;2015;64354;12187;18.94;3.35
80080;Distrito Sintético 80;2015;85876;20297;23.64;4.17
80081;Distrito Sintético 81;2015;80957;13294;16.42;2.08
80082;Distrito Sintético 82;2015;82116;17110;20.84;2.58
80083;Distrito Sintético 83;2015;81501;17473;21.44;2.31
80084;Distrito Sintético 84;2015;74692;13647;18.27;1.65
80085;Distrito Sintético 85;2015;83833;12634;15.07;3.52
80086;Distrito Sintético 86;2015;82734;14276;17.26;2.82
80087;Distrito Sintético 87;2015;67855;16582;24.44;2.78
80088;Distrito Sintético 88;2015;81426;18968;23.29;1.01
80089;Distrito Sintético 89;2015;84920;13145;15.48;3.47
80090;Distrito Sintético 90;2015;80078;12684;15.84;3.18
80091;Distrito Sintético 91;2015;87722;15329;17.47;2.67
80092;Distrito Sintético 92;2015;76562;12353;16.13;4.03
80093;Distrito Sintético 93;2015;83636;20975;25.08;4.97
80094;Distrito Sintético 94;2015;72434;14221;19.63;1.51
80095;Distrito Sintético 95;2015;70529;13292;18.85;1.16
80096;Distrito Sintético 96;2015;82631;15302;18.52;0.98
80001;Distrito Sintético 1;2016;101960;18905;18.54;3.2
80002;Distrito Sintético 2;2016;89756;19185;21.37;0.74
80003;Distrito Sintético 3;2016;63811;16505;25.87;3.3
80004;Distrito Sintético 4;2016;80753;20889;25.87;1.02
80005;Distrito Sintético 5;2016;102613;19664;19.16;3.21
80006;Distrito Sintético 6;2016;79363;14259;17.97;2.87
80007;Distrito Sintético 7;2016;67826;16344;24.1;1.12
80008;Distrito Sintético 8;2016;89664;15634;17.44;3.59
80009;Distrito Sintético 9;2016;79405;12715;16.01;3.0
80010;Distrito Sintético 10;2016;84416;14402;17.06;4.46
80011;Distrito Sintético 11;2016;80557;15725;19.52;3.08
80012;Distrito Sintético 12;2016;82070;10782;13.14;4.57
80013;Distrito Sintético 13;2016;72823;10061;13.82;4.9
80014;Distrito Sintético 14;2016;80532;10343;12.84;4.28
80015;Distrito Sintético 15;2016;94759;19948;21.05;1.76
80016;Distrito Sintético 16;2016;80798;16418;20.32;3.3
80017;Distrito Sintético 17;2016;70503;10684;15.15;3.26
80018;Distrito Sintético 18;2016;90618;14772;16.3;4.27
80019;Distrito Sintético 19;2016;79937;12546;15.69;1.49
80020;Distrito Sintético 20;2016;79712;18101;22.71;2.23
80021;Distrito Sintético 21;2016;78828;11167;14.17;4.87
80022;Distrito Sintético 22;2016;76240;12932;16.96;4.57
80023;Distrito Sintético 23;2016;77669;14505;18.68;3.21
80024;Distrito Sintético 24;2016;79042;19317;24.44;3.33
80025;Distrito Sintético 25;2016;86203;14900;17.28;2.4
80026;Distrito Sintético 26;2016;81652;20447;25.04;1.01
80027;Distrito Sintético 27;2016;92089;14884;16.16;3.26
80028;Distrito Sintético 28;2016;78785;14143;17.95;0.66
80029;Distrito Sintético 29;2016;86891;12960;14.92;4.53
80030;Distrito Sintético 30;2016;97142;19973;20.56;2.84
80031;Distrito Sintético 31;2016;85952;14868;17.3;1.2
80032;Distrito Sintético 32;2016;74426;17388;23.36;3.98
80033;Distrito Sintético 33;2016;86375;10110;11.7;1.16
80034;Distrito Sintético 34;2016;92279;12653;13.71;4.31
80035;Distrito Sintético 35;2016;88809;11408;12.85;2.99
80036;Distrito Sintético 36;2016;73114;14424;19.73;3.68
80037;Distrito Sintético 37;2016;78474;13752;17.52;1.32
80038;Distrito Sintético 38;2016;79952;17404;21.77;2.18
80039;Distrito Sintético 39;2016;78113;15885;20.34;2.56
80040;Distrito Sintético 40;2016;75242;16155;21.47;1.97
80041;Distrito Sintético 41;2016;85965;16678;19.4;2.74
80042;Distrito Sintético 42;2016;87955;16764;19.06;1.11
80043;Distrito Sintético 43;2016;88932;14737;16.57;3.61
80044;Distrito Sintético 44;2016;75294;18016;23.93;2.0
80045;Distrito Sintético 45;2016;86469;18737;21.67;1.09
80046;Distrito Sintético 46;2016;80757;13331;16.51;3.37
80047;Distrito Sintético 47;2016;93428;11678;12.5;0.63
80048;Distrito Sintético 48;2016;86435;14184;16.41;0.79
80049;Distrito Sintético 49;2016;88932;18194;20.46;2.95
80050;Distrito Sintético 50;2016;87443;12221;13.98;4.61
80051;Distrito Sintético 51;2016;80883;12466;15.41;4.27
80052;Distrito Sintético 52;2016;78689;17225;21.89;2.5
80053;Distrito Sintético 53;2016;83442;14636;17.54;0.71
80054;Distrito Sintético 54;2016;78731;12513;15.89;3.28
80055;Distrito Sintético 55;2016;81012;13578;16.76;2.12
80056;Distrito Sintético 56;2016;72777;13824;19.0;3.97
80057;Distrito Sintético 57;2016;82879;15373;18.55;4.06
80058;Distrito Sintético 58;2016;82693;15952;19.29;2.73
80059;Distrito Sintético 59;2016;92037;19579;21.27;2.69
80060;Distrito Sintético 60;2016;91048;18206;20.0;3.77
80061;Distrito Sintético 61;2016;71961;12494;17.36;4.5
80062;Distrito Sintético 62;2016;87355;19946;22.83;2.96
80063;Distrito Sintético 63;2016;95313;12128;12.72;4.02
80064;Distrito Sintético 64;2016;69627;10765;15.46;2.62
80065;Distrito Sintético 65;2016;81873;17221;21.03;1.35
80066;Distrito Sintético 66;2016;77926;14834;19.04;0.54
80067;Distrito Sintético 67;2016;86870;15946;18.36;3.32
80068;Distrito Sintético 68;2016;80936;17241;21.3;4.18
80069;Distrito Sintético 69;2016;74442;15963;21.44;2.76
80070;Distrito Sintético 70;2016;80423;13299;16.54;3.21
80071;Distrito Sintético 71;2016;75899;14200;18.71;1.09
80072;Distrito Sintético 72;2016;69955;16329;23.34;4.62
80073;Distrito Sintético 73;2016;76498;14300;18.69;2.26
80074;Distrito Sintético 74;2016;88846;14904;16.78;2.41
80075;Distrito Sintético 75;2016;88578;21166;23.9;1.09
80076;Distrito Sintético 76;2016;86604;13940;16.1;2.01
80077;Distrito Sintético 77;2016;80628;13780;17.09;2.79
80078;Distrito Sintético 78;2016;82791;12655;15.29;2.93
80079;Distrito Sintético 79;2016;74606;14130;18.94;2.19
80080;Distrito Sintético 80;2016;83655;10691;12.78;2.48
80081;Distrito Sintético 81;2016;71259;14365;20.16;2.76
80082;Distrito Sintético 82;2016;77285;15837;20.49;3.98
80083;Distrito Sintético 83;2016;75321;11955;15.87;3.93
80084;Distrito Sintético 84;2016;85059;12911;15.18;4.88
80085;Distrito Sintético 85;2016;72491;18948;26.14;2.3
80086;Distrito Sintético 86;2016;87661;16654;19.0;4.35
80087;Distrito Sintético 87;2016;76686;12958;16.9;3.38
80088;Distrito Sintético 88;2016;75111;17752;23.63;2.44
80089;Distrito Sintético 89;2016;76404;14129;18.49;0.8
80090;Distrito Sintético 90;2016;88633;15719;17.73;3.65
80091;Distrito Sintético 91;2016;78337;16426;20.97;3.86
80092;Distrito Sintético 92;2016;72050;19105;26.52;4.63
80093;Distrito Sintético 93;2016;80010;13052;16.31;0.54
80094;Distrito Sintético 94;2016;72026;10820;15.02;1.48
80095;Distrito Sintético 95;2016;78712;11809;15.0;0.85
80096;Distrito Sintético 96;2016;77779;19113;24.57;3.74
80001;Distrito Sintético 1;2017;79299;19741;24.89;1.84
80002;Distrito Sintético 2;2017;85439;17068;19.98;0.75
80003;Distrito Sintético 3;2017;82148;22068;26.86;1.42
80004;Distrito Sintético 4;2017;93624;13821;14.76;3.01
80005;Distrito Sintético 5;2017;70130;16444;23.45;0.51
80006;Distrito Sintético 6;2017;75762;20452;27.0;2.09
80007;Distrito Sintético 7;2017;78479;17473;22.26;1.42
80008;Distrito Sintético 8;2017;75039;12814;17.08;2.09
80009;Distrito Sintético 9;2017;79702;17271;21.67;4.63
80010;Distrito Sintético 10;2017;83227;17692;21.26;0.55
80011;Distrito Sintético 11;2017;84927;11072;13.04;2.12
80012;Distrito Sintético 12;2017;79435;13181;16.59;2.9
80013;Distrito Sintético 13;2017;75954;9377;12.35;2.17
80014;Distrito Sintético 14;2017;85323;11609;13.61;1.36
80015;Distrito Sintético 15;2017;83121;10716;12.89;3.59
80016;Distrito Sintético 16;2017;85812;21227;24.74;1.94
80017;Distrito Sintético 17;2017;91243;22082;24.2;4.51
80018;Distrito Sintético 18;2017;79741;11841;14.85;1.82
80019;Distrito Sintético 19;2017;76745;7459;9.72;1.33
80020;Distrito Sintético 20;2017;92231;17857;19.36;1.98
80021;Distrito Sintético 21;2017;87704;14732;16.8;0.81
80022;Distrito Sintético 22;2017;82311;12847;15.61;4.62
80023;Distrito Sintético 23;2017;94734;17461;18.43;4.61
80024;Distrito Sintético 24;2017;78127;17359;22.22;4.99
80025;Distrito Sintético 25;2017;89183;14620;16.39;2.49
80026;Distrito Sintético 26;2017;74510;12899;17.31;2.84
80027;Distrito Sintético 27;2017;67993;8941;13.15;1.48
80028;Distrito Sintético 28;2017;70583;14722;20.86;4.81
80029;Distrito Sintético 29;2017;69772;11786;16.89;4.1
80030;Distrito Sintético 30;2017;78670;13407;17.04;2.25
80031;Distrito Sintético 31;2017;81922;13387;16.34;0.94
80032;Distrito Sintético 32;2017;81263;19767;24.32;2.85
80033;Distrito Sintético 33;2017;75884;13003;17.14;4.89
80034;Distrito Sintético 34;2017;85391;19581;22.93;1.34
80035;Distrito Sintético 35;2017;76963;15577;20.24;2.12
80036;Distrito Sintético 36;2017;81043;16936;20.9;3.56
80037;Distrito Sintético 37;2017;76052;17430;22.92;2.8
80038;Distrito Sintético 38;2017;78258;16485;21.06;1.03
80039;Distrito Sintético 39;2017;89441;16860;18.85;3.65
80040;Distrito Sintético 40;2017;79273;18580;23.44;3.18
80041;Distrito Sintético 41;2017;82573;13618;16.49;3.63
80042;Distrito Sintético 42;2017;80253;15693;19.55;3.89
80043;Distrito Sintético 43;2017;78737;12516;15.9;3.4
80044;Distrito Sintético 44;2017;93475;17940;19.19;2.15
80045;Distrito Sintético 45;2017;91569;17213;18.8;1.67
80046;Distrito Sintético 46;2017;77021;13280;17.24;3.77
80047;Distrito Sintético 47;2017;83021;16024;19.3;3.92
80048;Distrito Sintético 48;2017;87513;15986;18.27;3.17
80049;Distrito Sintético 49;2017;87292;11758;13.47;3.91
80050;Distrito Sintético 50;2017;75880;12218;16.1;2.42
80051;Distrito Sintético 51;2017;78553;14200;18.08;1.67
80052;Distrito Sintético 52;2017;73529;10997;14.96;3.72
80053;Distrito Sintético 53;2017;84440;14324;16.96;1.98
80054;Distrito Sintético 54;2017;74906;18027;24.07;4.7
80055;Distrito Sintético 55;2017;85580;14206;16.6;0.6
80056;Distrito Sintético 56;2017;83068;15872;19.11;3.83
80057;Distrito Sintético 57;2017;84893;10779;12.7;3.56
80058;Distrito Sintético 58;2017;76380;16174;21.18;3.7
80059;Distrito Sintético 59;2017;90869;16322;17.96;0.81
80060;Distrito Sintético 60;2017;90056;19611;21.78;4.69
80061;Distrito Sintético 61;2017;67576;11217;16.6;4.65
80062;Distrito Sintético 62;2017;85478;17591;20.58;4.08
80063;Distrito Sintético 63;2017;79767;13256;16.62;3.77
80064;Distrito Sintético 64;2017;84946;14112;16.61;3.02
80065;Distrito Sintético 65;2017;76085;15348;20.17;2.79
80066;Distrito Sintético 66;2017;92503;12722;13.75;3.68
80067;Distrito Sintético 67;2017;84425;16257;19.26;2.79
80068;Distrito Sintético 68;2017;88800;20401;22.97;1.81
80069;Distrito Sintético 69;2017;99094;17629;17.79;3.72
80070;Distrito Sintético 70;2017;88634;16698;18.84;1.76
80071;Distrito Sintético 71;2017;78258;16298;20.83;4.92
80072;Distrito Sintético 72;2017;80466;15119;18.79;4.5
80073;Distrito Sintético 73;2017;94688;14971;15.81;2.13
80074;Distrito Sintético 74;2017;81271;16141;19.86;3.7
80075;Distrito Sintético 75;2017;73081;11844;16.21;4.22
80076;Distrito Sintético 76;2017;69632;14916;21.42;1.9
80077;Distrito Sintético 77;2017;93993;17801;18.94;1.32
80078;Distrito Sintético 78;2017;88549;13963;15.77;3.16
80079;Distrito Sintético 79;2017;90126;17298;19.19;3.34
80080;Distrito Sintético 80;2017;85964;17667;20.55;1.21
80081;Distrito Sintético 81;2017;79762;12799;16.05;1.2
80082;Distrito Sintético 82;2017;82576;15579;18.87;2.31
80083;Distrito Sintético 83;2017;91304;14009;15.34;3.12
80084;Distrito Sintético 84;2017;74689;14281;19.12;1.14
80085;Distrito Sintético 85;2017;90261;14605;16.18;3.94
80086;Distrito Sintético 86;2017;81839;17928;21.91;1.5
80087;Distrito Sintético 87;2017;73564;12011;16.33;3.82
80088;Distrito Sintético 88;2017;75920;16041;21.13;4.53
80089;Distrito Sintético 89;2017;78695;14071;17.88;3.33
80090;Distrito Sintético 90;2017;76513;13916;18.19;1.22
80091;Distrito Sintético 91;2017;77619;16629;21.42;4.88
80092;Distrito Sintético 92;2017;79488;16588;20.87;2.46
80093;Distrito Sintético 93;2017;69741;15613;22.39;2.92
80094;Distrito Sintético 94;2017;78704;16491;20.95;2.99
80095;Distrito Sintético 95;2017;82912;15518;18.72;2.06
80096;Distrito Sintético 96;2017;76670;15732;20.52;0.94
80001;Distrito Sintético 1;2018;82023;16714;20.38;0.69
80002;Distrito Sintético 2;2018;81284;18852;23.19;3.67
80003;Distrito Sintético 3;2018;83228;12440;14.95;1.51
80004;Distrito Sintético 4;2018;73630;9963;13.53;3.18
80005;Distrito Sintético 5;2018;82196;12212;14.86;0.84
80006;Distrito Sintético 6;2018;78076;18856;24.15;1.33
80007;Distrito Sintético 7;2018;77969;11136;14.28;4.18
80008;Distrito Sintético 8;2018;83199;15251;18.33;2.08
80009;Distrito Sintético 9;2018;85654;20067;23.43;4.54
80010;Distrito Sintético 10;2018;82494;14279;17.31;0.6
80011;Distrito Sintético 11;2018;76678;11300;14.74;3.94
80012;Distrito Sintético 12;2018;80112;17320;21.62;1.79
80013;Distrito Sintético 13;2018;80848;10995;13.6;4.35
80014;Distrito Sintético 14;2018;72380;11917;16.46;4.08
80015;Distrito Sintético 15;2018;98624;15354;15.57;2.79
80016;Distrito Sintético 16;2018;80315;14325;17.84;1.17
80017;Distrito Sintético 17;2018;76883;19021;24.74;3.9
80018;Distrito Sintético 18;2018;82787;12880;15.56;4.08
80019;Distrito Sintético 19;2018;80379;17568;21.86;0.58
80020;Distrito Sintético 20;2018;63747;11847;18.58;4.46
80021;Distrito Sintético 21;2018;87436;12566;14.37;3.27
80022;Distrito Sintético 22;2018;89217;16664;18.68;2.77
80023;Distrito Sintético 23;2018;79027;16996;21.51;3.01
80024;Distrito Sintético 24;2018;86166;14685;17.04;4.46
80025;Distrito Sintético 25;2018;78963;11286;14.29;4.22
80026;Distrito Sintético 26;2018;81056;14738;18.18;4.55
80027;Distrito Sintético 27;2018;83235;12818;15.4;1.44
80028;Distrito Sintético 28;2018;78622;16422;20.89;4.31
80029;Distrito Sintético 29;2018;84465;14535;17.21;3.23
80030;Distrito Sintético 30;2018;82139;14792;18.01;1.7
80031;Distrito Sintético 31;2018;82274;16858;20.49;3.38
80032;Distrito Sintético 32;2018;78612;16876;21.47;2.29
80033;Distrito Sintético 33;2018;84420;19161;22.7;2.95
80034;Distrito Sintético 34;2018;76705;14979;19.53;2.1
80035;Distrito Sintético 35;2018;97060;11794;12.15;1.11
80036;Distrito Sintético 36;2018;86953;13129;15.1;3.49
80037;Distrito Sintético 37;2018;77002;18430;23.93;1.21
80038;Distrito Sintético 38;2018;98306;24172;24.59;4.24
80039;Distrito Sintético 39;2018;68632;14773;21.52;4.07
80040;Distrito Sintético 40;2018;75734;9288;12.26;3.14
80041;Distrito Sintético 41;2018;81276;10386;12.78;0.99
80042;Distrito Sintético 42;2018;80453;13120;16.31;3.92
80043;Distrito Sintético 43;2018;83748;14264;17.03;4.82
80044;Distrito Sintético 44;2018;88240;16264;18.43;4.24
80045;Distrito Sintético 45;2018;82707;15750;19.04;4.29
80046;Distrito Sintético 46;2018;70931;13019;18.35;1.93
80047;Distrito Sintético 47;2018;89512;15383;17.19;4.05
80048;Distrito Sintético 48;2018;94563;16756;17.72;4.18
80049;Distrito Sintético 49;2018;73036;10991;15.05;4.76
80050;Distrito Sintético 50;2018;64555;11818;18.31;4.11
80051;Distrito Sintético 51;2018;72680;10019;13.79;2.33
80052;Distrito Sintético 52;2018;76998;13130;17.05;4.28
80053;Distrito Sintético 53;2018;80656;13766;17.07;2.59
80054;Distrito Sintético 54;2018;70044;14313;20.43;1.23
80055;Distrito Sintético 55;2018;78508;18673;23.78;0.57
80056;Distrito Sintético 56;2018;86237;15958;18.5;0.78
80057;Distrito Sintético 57;2018;97725;12632;12.93;2.46
80058;Distrito Sintético 58;2018;78281;15063;19.24;2.69
80059;Distrito Sintético 59;2018;75453;15522;20.57;3.01
80060;Distrito Sintético 60;2018;84471;12953;15.33;4.03
80061;Distrito Sintético 61;2018;75749;10834;14.3;3.2
80062;Distrito Sintético 62;2018;73576;11063;15.04;1.42
80063;Distrito Sintético 63;2018;92896;14818;15.95;1.37
80064;Distrito Sintético 64;2018;81488;12628;15.5;1.49
80065;Distrito Sintético 65;2018;85844;13144;15.31;4.18
80066;Distrito Sintético 66;2018;74246;12185;16.41;0.93
80067;Distrito Sintético 67;2018;90451;11204;12.39;4.52
80068;Distrito Sintético 68;2018;82417;15725;19.08;1.32
80069;Distrito Sintético 69;2018;78286;13195;16.85;4.63
80070;Distrito Sintético 70;2018;79916;13130;16.43;4.9
80071;Distrito Sintético 71;2018;86121;15083;17.51;2.61
80072;Distrito Sintético 72;2018;88318;18174;20.58;3.73
80073;Distrito Sintético 73;2018;80107;16582;20.7;4.07
80074;Distrito Sintético 74;2018;76022;14493;19.06;0.92
80075;Distrito Sintético 75;2018;72625;14900;20.52;2.89
80076;Distrito Sintético 76;2018;85189;15068;17.69;1.74
80077;Distrito Sintético 77;2018;81131;16161;19.92;2.73
80078;Distrito Sintético 78;2018;85494;13406;15.68;3.11
80079;Distrito Sintético 79;2018;84044;15312;18.22;0.58
80080;Distrito Sintético 80;2018;75099;17266;22.99;1.18
80081;Distrito Sintético 81;2018;82330;18723;22.74;0.95
80082;Distrito Sintético 82;2018;70636;17087;24.19;4.32
80083;Distrito Sintético 83;2018;78442;14412;18.37;1.8
80084;Distrito Sintético 84;2018;80330;17015;21.18;3.06
80085;Distrito Sintético 85;2018;75800;13481;17.78;0.77
80086;Distrito Sintético 86;2018;93176;13979;15.0;4.83
80087;Distrito Sintético 87;2018;86131;19125;22.2;2.04
80088;Distrito Sintético 88;2018;83577;12571;15.04;1.95
80089;Distrito Sintético 89;2018;86269;21166;24.53;2.82
80090;Distrito Sintético 90;2018;89420;17291;19.34;2.8
80091;Distrito Sintético 91;2018;75552;17216;22.79;1.96
80092;Distrito Sintético 92;2018;84150;18346;21.8;2.59
80093;Distrito Sintético 93;2018;70692;9381;13.27;4.89
80094;Distrito Sintético 94;2018;72209;13468;18.65;4.93
80095;Distrito Sintético 95;2018;76342;12526;16.41;0.6
80096;Distrito Sintético 96;2018;90149;12672;14.06;1.2
80001;Distrito Sintético 1;2019;78614;10394;13.22;4.15
80002;Distrito Sintético 2;2019;82989;17263;20.8;4.8
80003;Distrito Sintético 3;2019;86225;18229;21.14;2.54
80004;Distrito Sintético 4;2019;87501;20988;23.99;4.23
80005;Distrito Sintético 5;2019;80788;15953;19.75;4.69
80006;Distrito Sintético 6;2019;86762;18191;20.97;2.06
80007;Distrito Sintético 7;2019;75553;15057;19.93;0.69
80008;Distrito Sintético 8;2019;72136;12452;17.26;4.02
80009;Distrito Sintético 9;2019;86031;16699;19.41;3.38
80010;Distrito Sintético 10;2019;82093;17450;21.26;1.4
80011;Distrito Sintético 11;2019;79493;14925;18.78;3.56
80012;Distrito Sintético 12;2019;76009;9629;12.67;4.0
80013;Distrito Sintético 13;2019;81219;13717;16.89;0.5
80014;Distrito Sintético 14;2019;76395;15004;19.64;4.88
80015;Distrito Sintético 15;2019;89976;13602;15.12;2.38
80016;Distrito Sintético 16;2019;82029;15030;18.32;4.88
80017;Distrito Sintético 17;2019;77351;16316;21.09;4.27
80018;Distrito Sintético 18;2019;85664;20567;24.01;3.58
80019;Distrito Sintético 19;2019;95948;14135;14.73;2.94
80020;Distrito Sintético 20;2019;66863;15114;22.6;2.13
80021;Distrito Sintético 21;2019;76134;15988;21.0;0.77
80022;Distrito Sintético 22;2019;92561;16682;18.02;3.7
80023;Distrito Sintético 23;2019;88555;16071;18.15;4.71
80024;Distrito Sintético 24;2019;82162;14851;18.08;3.31
80025;Distrito Sintético 25;2019;85546;17130;20.02;3.74
80026;Distrito Sintético 26;2019;83814;18469;22.04;1.39
80027;Distrito Sintético 27;2019;90302;15417;17.07;0.81
80028;Distrito Sintético 28;2019;95564;13532;14.16;2.91
80029;Distrito Sintético 29;2019;84067;21714;25.83;2.09
80030;Distrito Sintético 30;2019;87794;18231;20.77;4.64
80031;Distrito Sintético 31;2019;71718;16811;23.44;0.82
80032;Distrito Sintético 32;2019;96715;21491;22.22;1.09
80033;Distrito Sintético 33;2019;79167;15631;19.74;4.48
